user_id;sex;age;university;graduation_year
1;Муж;26;МАТИ;2012
2;Муж;36;ТулГУ;2003
4;Муж;38;"МГТУ ""МАМИ""";2010
5;Муж;27;ГУУ;2010
6;Муж;36;ИГЭУ им. Ленина;2002
10;Жен;37;РУК;2001
12;Муж;34;ТГУ;2004
13;Муж;30;СГАП;2010
15;Муж;31;БГУ им. Петровского;2006
16;Жен;35;МГОУ им. Черномырдина;2004
17;Муж;22;АУ МВД РФ;2014
18;Муж;42;ХТИ;1999
20;Муж;31;КубГТУ;2008
22;Муж;53;МГОУ;N/A
23;Муж;31;НГМА;2007
26;Жен;60;ВСГУТУ;1983
27;Муж;31;ПИУ;N/A
28;Муж;37;ТГУ;2006
30;Муж;25;Дальрыбвтуз;2014
31;Жен;40;УлГУ;1999
32;Жен;49;ВСГУТУ;1989
34;Жен;37;БГУ;2001
35;Жен;32;ДВФУ;2006
36;Муж;29;УрГЭУ;2012
37;Жен;38;КГТЭИ;2000
38;Муж;39;ОГУ;2001
39;Жен;29;ИрГТУ;N/A
40;Муж;26;ИГУ;2012
41;Жен;49;ПГНИУ;1999
42;Муж;38;ПНИПУ;2000
43;Жен;41;КГТЭИ;1998
44;Муж;27;РЭУ им. Г. В. Плеханова;N/A
45;Муж;30;ТулГУ;2010
46;Жен;27;ПГУТИ;2014
47;Муж;30;ПГТУ;N/A
48;Муж;36;ЮГУ;2003
49;Муж;31;УрФУ им. Б. Н. Ельцина;2011
50;Муж;41;МИЭТ;2000
51;Муж;30;РГСУ;2014
53;Муж;52;МГПУ;1990
55;Жен;37;СГА;1999
59;Муж;38;МПГУ;2000
60;Жен;36;МБИ;1999
62;Муж;39;ВлГУ;2002
64;Муж;38;СГА;2001
65;Муж;36;БГУЭП;2002
71;Муж;39;ДГТУ;2000
74;Муж;36;ВолгГТУ;N/A
75;Муж;43;МГГУ;1992
76;Жен;35;Финансовый университет;2001
77;Муж;43;МГИУ;2013
78;Муж;43;РГУНГ им. Губкина;1995
79;Муж;37;МГПУ;N/A
82;Муж;48;НИУ МЭИ;N/A
83;Муж;44;КФУ;1994
84;Муж;56;ИГСХА;1987
85;Муж;50;СПбГУАП;1989
86;Муж;60;МИРЭА;N/A
88;Жен;41;РГСУ;2005
89;Муж;38;МГПУ;2014
90;Муж;44;МГТУ им. Н.Э. Баумана;1996
91;Муж;33;ПИ;2009
92;Муж;49;МГУПС;1992
93;Жен;26;МАИ;2012
94;Жен;34;ИНЭП;2009
95;Муж;27;МФПУ Синергия;2011
97;Муж;43;МФЮА;2009
99;Муж;37;МГОУ;2007
100;Жен;38;РГУТиС;2003
101;Муж;31;МосГУ;2007
103;Муж;30;ОмГУ им. Достоевского;N/A
105;Муж;47;ЯрГУ им. П. Г. Демидова;1993
106;Муж;46;РГАТА;1992
109;Жен;37;ЛГТУ;N/A
110;Муж;32;ИГЭУ им. Ленина;2006
111;Жен;56;СПбГУ;2009
112;Муж;31;ТГТУ;2008
114;Жен;52;ПГСХА;1986
115;Муж;37;ГУЗ;N/A
116;Муж;35;РГРТУ;2004
118;Жен;35;МГСУ-МИСИ;2004
121;Жен;60;ВГПУ;1978
122;Муж;38;РГСУ;2000
123;Муж;23;ЛГТУ;2015
124;Муж;29;МЭСИ;2010
125;Муж;40;ТюмГУ;2008
126;Муж;34;СПбГПУ Политех;2005
128;Жен;30;ВолгГТУ;N/A
129;Муж;36;ВолГУ;2002
131;Жен;37;СПбГУ;2007
132;Муж;27;СПбГУКИ;2014
133;Муж;29;КГТУ-КАИ им. Туполева;2011
134;Муж;28;УГТУ;2011
135;Муж;32;ВолгГТУ;N/A
136;Муж;35;ДГТУ;N/A
137;Муж;48;ТюмГУ;1994
138;Муж;30;КГТУ;2011
140;Жен;33;СГА;2004
141;Муж;28;ВлГУ им. А.Г. и Н.Г. Столетовых;N/A
142;Муж;40;СПбГУ;1999
146;Муж;24;ТвГУ;2015
147;Муж;34;МФЮА;2007
148;Жен;37;НГСХА;2003
150;Жен;49;ЮУрГУ;1991
151;Жен;31;МГТУ им. Носова;2007
152;Муж;28;БГУ им. Петровского;2013
153;Муж;30;ИГЭУ им. Ленина;N/A
154;Жен;34;ВЭГУ;N/A
155;Муж;38;КГТУ-КАИ им. Туполева;2001
157;Жен;33;ЯрГУ им. П. Г. Демидова;N/A
159;Муж;43;ВГАВТ;2005
162;Муж;27;ПГТУ;2011
163;Муж;29;ЮРГУЭС;2012
166;Жен;28;КНИТУ-КАИ им. А. Н. Туполева;N/A
167;Муж;35;ВолгГАСУ;N/A
169;Муж;35;МГУПБ;2004
170;Муж;39;МГУ;1999
171;Муж;29;МГУ;N/A
172;Муж;46;НГТУ им. Алексеева;2003
173;Муж;29;СГА;2013
174;Муж;31;МЭСИ;2015
