user_id,sex,age
3,1,44.7
7,1,44.7
8,0,43.0
9,1,44.7
11,0,45.3
14,1,44.7
19,1,38.6
21,1,44.7
24,1,44.7
25,0,36.9
29,1,26.8
33,1,26.8
52,1,33.1
54,1,33.1
56,1,33.1
57,1,33.1
58,1,33.1
61,1,37.4
63,1,42.9
66,0,33.6
67,1,37.4
68,1,37.4
69,1,37.4
70,1,37.4
72,0,35.6
73,0,35.6
80,0,36.2
81,0,36.2
87,1,37.8
96,1,37.1
98,1,37.1
102,1,60.0
104,0,35.5
107,1,37.1
108,1,36.7
113,0,38.9
117,0,35.1
119,1,36.7
120,1,38.9
127,1,34.8
130,1,34.8
139,0,31.4
143,1,36.8
144,1,34.0
145,1,43.9
149,0,36.5
156,0,38.8
158,1,40.5
160,1,36.4
161,1,33.8
164,0,31.3
165,0,39.0
168,1,33.8
175,1,39.0
176,1,39.0
181,1,39.0
183,1,33.3
186,0,32.5
191,1,39.0
193,1,39.0
194,1,39.0
198,0,31.2
200,1,33.8
204,1,33.8
213,1,39.7
218,1,34.4
221,0,30.8
227,0,33.0
228,1,39.7
235,1,39.7
243,1,39.7
247,1,37.5
251,1,37.5
259,1,37.0
261,1,39.7
266,1,37.2
268,1,37.2
269,1,39.7
270,1,54.7
272,1,37.1
273,1,39.7
275,1,39.7
277,1,48.0
278,1,37.1
283,1,39.8
285,1,37.1
286,1,44.8
288,1,37.1
290,1,37.1
292,1,37.1
294,0,43.3
295,1,37.1
298,1,36.1
304,1,38.5
308,1,37.5
309,1,39.6
311,0,37.1
320,1,39.6
325,1,38.4
334,1,45.0
337,1,37.6
339,1,37.6
343,1,37.6
344,1,37.6
349,1,37.7
351,1,37.7
352,1,37.7
354,1,41.1
355,0,41.8
356,1,39.3
359,0,37.8
368,0,37.1
376,1,38.1
380,1,38.2
381,1,38.2
385,1,34.0
388,0,43.1
389,1,35.4
390,0,34.4
392,1,42.7
393,1,35.1
394,1,35.4
398,1,35.4
399,1,35.2
403,0,34.6
404,1,42.6
405,1,44.8
407,1,37.7
412,1,37.3
415,1,42.7
416,1,37.3
422,0,35.6
423,1,42.7
425,1,37.3
427,1,37.3
428,0,35.6
430,1,36.9
431,1,36.9
433,1,36.9
438,1,43.1
443,1,43.1
449,1,42.4
450,1,36.4
454,0,43.1
457,1,35.2
459,1,40.3
460,1,36.4
464,1,36.4
466,1,36.4
467,0,43.1
479,1,35.8
482,1,35.8
483,1,35.8
484,0,35.5
487,1,35.8
488,1,35.8
489,1,35.8
496,1,35.8
498,1,35.8
501,1,37.9
502,1,35.4
503,1,35.4
508,1,35.4
512,0,43.7
514,1,36.2
516,1,35.4
522,1,39.1
533,1,47.9
544,0,42.0
545,0,42.0
548,1,42.0
554,0,31.4
555,1,37.6
557,1,37.6
566,0,30.8
575,1,32.4
576,1,37.0
580,1,32.4
592,1,42.0
595,1,35.5
605,1,35.5
606,1,35.5
607,0,42.0
615,1,35.6
617,0,42.0
618,1,35.6
620,1,35.6
622,1,35.6
629,1,42.0
633,1,36.9
634,1,36.9
638,1,42.0
639,1,36.9
648,1,35.5
652,1,36.3
653,1,36.3
662,0,38.0
667,1,39.9
669,1,39.9
671,1,53.7
673,1,39.2
678,1,42.0
682,1,39.2
685,0,34.5
688,1,49.0
689,1,39.2
692,0,42.0
694,1,39.2
697,1,40.2
706,0,37.2
708,1,37.6
710,1,42.0
720,1,37.4
722,1,37.4
725,1,42.0
